[0.000000] (-) TimerEvent: {}
[0.000374] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000407] (-) JobUnselected: {'identifier': 'dual_arm_panda_moveit_config'}
[0.000429] (-) JobUnselected: {'identifier': 'moveit'}
[0.000447] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000465] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000483] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000499] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000516] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000533] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000550] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000567] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000583] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000600] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000617] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000634] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000651] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000667] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000684] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000700] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000718] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000734] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000751] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000768] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000784] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000801] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000817] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000834] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000850] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000867] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000883] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000899] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000916] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000932] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000949] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000965] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000982] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000998] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001014] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001031] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001047] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001068] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001086] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001102] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001143] (-) JobUnselected: {'identifier': 'my_mobile_manipulator_description'}
[0.001161] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001171] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001178] (-) JobUnselected: {'identifier': 'ur_description'}
[0.001187] (-) EventReactorShutdown: {}
